Cancer 	data_type	AUC	min	max
BLCA	complete	0.9453847	0.914086427	0.989688578
BRCA	complete	0.9077341	0.861662299	0.96563085
CESC	complete	0.9455589	0.9455589	0.9455589
COAD	complete	0.8812439	0.826703735	0.925816197
HNSC	complete	0.8930952	0.8930952	0.8930952
LIHC	complete	0.9299015	0.875807454	0.952568758
LUAD	complete	0.8909586	0.874029888	0.919857248
OV	complete	0.9077341	0.882469074	0.953806495
SKCM	complete	0.9541114	0.948526049	0.956904079
THCA	complete	0.896365	0.896365	0.896365
BLCA	original	0.9228534	0.89746189	0.94653029
BRCA	original	0.8840112	0.756845127	0.944902034
CESC	original	0.9336109	0.9336109	0.9336109
COAD	original	0.873795	0.828450242	0.909151387
HNSC	original	0.8981946	0.8981946	0.8981946
LIHC	original	0.919942	0.858778061	0.946531169
LUAD	original	0.8753743	0.852017428	0.904389509
OV	original	0.9040533	0.874111042	0.949835766
SKCM	original	0.922699	0.902727537	0.932684712
THCA	original	0.8591836	0.8591836	0.8591836
