Cancer	r	Recall
BLCA	0.1	0.9402459
BLCA	0.2	0.9450668
BLCA	0.3	0.9453358
BLCA	0.4	0.9434892
BLCA	0.5	0.9402139
BLCA	0.6	0.9353291
BLCA	0.7	0.9293559
BLCA	0.8	0.9199327
BLCA	0.9	0.9045525
BRCA	0.1	0.9191035
BRCA	0.2	0.9189521
BRCA	0.3	0.9162391
BRCA	0.4	0.9126608
BRCA	0.5	0.9071298
BRCA	0.6	0.8992803
BRCA	0.7	0.8892033
BRCA	0.8	0.8727347
BRCA	0.9	0.8434866
CESC	0.1	0.9628945
CESC	0.2	0.9544547
CESC	0.3	0.9454477
CESC	0.4	0.9374617
CESC	0.5	0.9274338
CESC	0.6	0.9181773
CESC	0.7	0.9074801
CESC	0.8	0.9056651
CESC	0.9	0.8948998
COAD	0.1	0.8816774
COAD	0.2	0.8824503
COAD	0.3	0.8811053
COAD	0.4	0.8775391
COAD	0.5	0.8722199
COAD	0.6	0.8644831
COAD	0.7	0.8586172
COAD	0.8	0.8490616
COAD	0.9	0.8350399
HNSC	0.1	0.8992953
HNSC	0.2	0.896511
HNSC	0.3	0.892997
HNSC	0.4	0.8884174
HNSC	0.5	0.8835881
HNSC	0.6	0.8801413
HNSC	0.7	0.8748224
HNSC	0.8	0.8735166
HNSC	0.9	0.8667576
LIHC	0.1	0.9289407
LIHC	0.2	0.9308735
LIHC	0.3	0.9298767
LIHC	0.4	0.9263753
LIHC	0.5	0.920933
LIHC	0.6	0.9131946
LIHC	0.7	0.9020162
LIHC	0.8	0.8823121
LIHC	0.9	0.8502213
LUAD	0.1	0.8944221
LUAD	0.2	0.8934014
LUAD	0.3	0.8908486
LUAD	0.4	0.887408
LUAD	0.5	0.882219
LUAD	0.6	0.8755895
LUAD	0.7	0.8666111
LUAD	0.8	0.8524659
LUAD	0.9	0.8267691
OV	0.1	0.9164561
OV	0.2	0.9120298
OV	0.3	0.9076214
OV	0.4	0.9019738
OV	0.5	0.8964094
OV	0.6	0.8900789
OV	0.7	0.8797341
OV	0.8	0.8674891
OV	0.9	0.8457483
SKCM	0.1	0.9567139
SKCM	0.2	0.9559103
SKCM	0.3	0.9539981
SKCM	0.4	0.95228
SKCM	0.5	0.9513724
SKCM	0.6	0.950645
SKCM	0.7	0.95122
SKCM	0.8	0.9503817
SKCM	0.9	0.9507212
THCA	0.1	0.8828938
THCA	0.2	0.8929617
THCA	0.3	0.8962651
THCA	0.4	0.8942886
THCA	0.5	0.8890282
THCA	0.6	0.8799948
THCA	0.7	0.8662399
THCA	0.8	0.8423907
THCA	0.9	0.8025953
