Cancer	r	MPR
BLCA	0.1	0.05979683
BLCA	0.2	0.05499316
BLCA	0.3	0.05473365
BLCA	0.4	0.05658869
BLCA	0.5	0.05987182
BLCA	0.6	0.0647673
BLCA	0.7	0.07075526
BLCA	0.8	0.08019505
BLCA	0.9	0.09559975
BRCA	0.1	0.08082543
BRCA	0.2	0.08099748
BRCA	0.3	0.08372284
BRCA	0.4	0.08732245
BRCA	0.5	0.08732245
BRCA	0.6	0.1007655
BRCA	0.7	0.1109108
BRCA	0.8	0.1274875
BRCA	0.9	0.156969
CESC	0.1	0.03711015
CESC	0.2	0.04555098
CESC	0.3	0.05455907
CESC	0.4	0.06254609
CESC	0.5	0.07257525
CESC	0.6	0.08183293
CESC	0.7	0.09253145
CESC	0.8	0.09434669
CESC	0.9	0.1051133
COAD	0.1	0.1182865
COAD	0.2	0.1175167
COAD	0.3	0.1188663
COAD	0.4	0.1224371
COAD	0.5	0.1277621
COAD	0.6	0.1355008
COAD	0.7	0.1413818
COAD	0.8	0.1509594
COAD	0.9	0.165023
HNSC	0.1	0.1007173
HNSC	0.2	0.1035019
HNSC	0.3	0.1070163
HNSC	0.4	0.1115966
HNSC	0.5	0.1164265
HNSC	0.6	0.1198736
HNSC	0.7	0.1251932
HNSC	0.8	0.1264991
HNSC	0.9	0.1332591
LIHC	0.1	0.07114714
LIHC	0.2	0.06921748
LIHC	0.3	0.07021507
LIHC	0.4	0.07371695
LIHC	0.5	0.07916075
LIHC	0.6	0.08690192
LIHC	0.7	0.09808569
LIHC	0.8	0.1177974
LIHC	0.9	0.1499062
LUAD	0.1	0.105569
LUAD	0.2	0.1065942
LUAD	0.3	0.1091531
LUAD	0.4	0.1126027
LUAD	0.5	0.1178017
LUAD	0.6	0.1244461
LUAD	0.7	0.1334471
LUAD	0.8	0.1476252
LUAD	0.9	0.1733803
OV	0.1	0.08357072
OV	0.2	0.08797569
OV	0.3	0.09237996
OV	0.4	0.09803006
OV	0.5	0.1036177
OV	0.6	0.1099916
OV	0.7	0.1203945
OV	0.8	0.1327661
OV	0.9	0.1547681
SKCM	0.1	0.04329148
SKCM	0.2	0.04409523
SKCM	0.3	0.04600759
SKCM	0.4	0.04772595
SKCM	0.5	0.04863363
SKCM	0.6	0.04936116
SKCM	0.7	0.04878606
SKCM	0.8	0.04962446
SKCM	0.9	0.04928494
THCA	0.1	0.117121
THCA	0.2	0.1070518
THCA	0.3	0.103748
THCA	0.4	0.1057247
THCA	0.5	0.1109858
THCA	0.6	0.1200203
THCA	0.7	0.133777
THCA	0.8	0.1576292
THCA	0.9	0.1974296
