Cancer	r	AUC
BLCA	0.1	0.9403208
BLCA	0.2	0.9451251
BLCA	0.3	0.9453847
BLCA	0.4	0.9435294
BLCA	0.5	0.9402458
BLCA	0.6	0.9353497
BLCA	0.7	0.929361
BLCA	0.8	0.9199201
BLCA	0.9	0.9045134
BRCA	0.1	0.9192905
BRCA	0.2	0.9191185
BRCA	0.3	0.9077341
BRCA	0.4	0.9127927
BRCA	0.5	0.9127927
BRCA	0.6	0.8993479
BRCA	0.7	0.8892013
BRCA	0.8	0.8726226
BRCA	0.9	0.8431373
CESC	0.1	0.96301
CESC	0.2	0.9545681
CESC	0.3	0.9455589
CESC	0.4	0.9375709
CESC	0.5	0.9275405
CESC	0.6	0.9182817
CESC	0.7	0.9075818
CESC	0.8	0.9057664
CESC	0.9	0.8949984
COAD	0.1	0.8818238
COAD	0.2	0.8825937
COAD	0.3	0.8812439
COAD	0.4	0.8776727
COAD	0.5	0.872347
COAD	0.6	0.8646073
COAD	0.7	0.8587256
COAD	0.8	0.8491468
COAD	0.9	0.8350815
HNSC	0.1	0.899395
HNSC	0.2	0.89661
HNSC	0.3	0.8930952
HNSC	0.4	0.8885144
HNSC	0.5	0.8836839
HNSC	0.6	0.8802362
HNSC	0.7	0.874916
HNSC	0.8	0.8736099
HNSC	0.9	0.8668491
LIHC	0.1	0.9289693
LIHC	0.2	0.9308992
LIHC	0.3	0.9299015
LIHC	0.4	0.9263992
LIHC	0.5	0.9209547
LIHC	0.6	0.9132125
LIHC	0.7	0.9020274
LIHC	0.8	0.8823132
LIHC	0.9	0.8502004
LUAD	0.1	0.8945432
LUAD	0.2	0.8935179
LUAD	0.3	0.8909586
LUAD	0.4	0.8875086
LUAD	0.5	0.8823089
LUAD	0.6	0.8756637
LUAD	0.7	0.8666615
LUAD	0.8	0.8524817
LUAD	0.9	0.8267233
OV	0.1	0.9165445
OV	0.2	0.9121389
OV	0.3	0.9077341
OV	0.4	0.9020833
OV	0.5	0.896495
OV	0.6	0.8901202
OV	0.7	0.8797161
OV	0.8	0.8673429
OV	0.9	0.845338
SKCM	0.1	0.9568279
SKCM	0.2	0.956024
SKCM	0.3	0.9541114
SKCM	0.4	0.9523928
SKCM	0.5	0.951485
SKCM	0.6	0.9507574
SKCM	0.7	0.9513326
SKCM	0.8	0.9504941
SKCM	0.9	0.9508336
THCA	0.1	0.8829903
THCA	0.2	0.8930608
THCA	0.3	0.896365
THCA	0.4	0.894388
THCA	0.5	0.8891263
THCA	0.6	0.8800907
THCA	0.7	0.8663322
THCA	0.8	0.842477
THCA	0.9	0.8026716
